salary,job_url,job_enterprise,date,job_place,job_name
15000-19999/月,http://jobs.51job.com/shanghai-xhq/82231318.html?s=0,上海临港漕河泾人才有限公司,11-08,上海-徐汇区,3.三零卫士-数据挖掘工程师
8000-9999/月,http://jobs.51job.com/changzhou/80297577.html?s=0,亚信蓝涛（江苏）数据科技有限公司,11-08,常州,数据挖掘工程师
10000-14999/月,http://jobs.51job.com/shenzhen-nsq/79563507.html?s=0,微马科技控股有限公司,11-08,深圳-南山区,大数据挖掘分析师
15000-19999/月,http://jobs.51job.com/beijing-hdq/74003497.html?s=0,优酷土豆集团,11-08,北京-海淀区,数据挖掘算法工程师
15000-19999/月,http://jobs.51job.com/suzhou-gyyq/74654701.html?s=0,智慧芽信息科技（苏州）有限公司,11-08,苏州-工业园区,数据挖掘工程师
15000-30000/月,http://jobs.51job.com/shanghai-ypq/73785650.html?s=0,悦岚（上海）数据服务有限公司,11-08,上海-杨浦区,大数据/数据挖掘/数据仓库资深顾问
10000+ /月,http://jobs.51job.com/beijing-hdq/81619031.html?s=0,北京中技所知识产权服务有限公司,11-08,北京-海淀区,数据挖掘工程师
8000-9999/月,http://jobs.51job.com/guangzhou-thq/80089188.html?s=0,广东瑞图万方科技股份有限公司,11-08,广州-天河区,软件开发(数据挖掘方向)
25000-40000/月,http://jobs.51job.com/shanghai-cnq/82053487.html?s=0,上海细微信息咨询有限公司,11-08,上海-长宁区,数据挖掘工程师
Null,http://jobs.51job.com/shanghai/64226226.html?s=0,携程旅行网业务区,11-08,上海,数据挖掘工程师（高级/初级）
6000-10000/月,http://jobs.51job.com/shanghai-cnq/82515314.html?s=0,魔利互通（北京）信息技术有限公司,11-08,上海-长宁区,助理客户经理 客户助理 (快消、行销项目、数据挖掘)
10000-14999/月,http://jobs.51job.com/beijing/82775447.html?s=0,博彦科技股份有限公司,11-08,北京,数据挖掘工程师-北京-01903
10000-15000/月,http://jobs.51job.com/shanghai-mhq/76008841.html?s=0,华硕电脑（上海）有限公司上海分公司,11-08,上海-闵行区,数据挖掘工程师
10-15万/年,http://jobs.51job.com/ningbo/78761226.html?s=0,宁波博洋服饰集团有限公司,11-08,宁波,数据挖掘师（唐狮品牌）
8000-9999/月,http://jobs.51job.com/shanghai-pdxq/73916943.html?s=0,宝象投资控股集团有限公司,11-08,上海-浦东新区,数据挖掘工程师
10000-14999/月,http://jobs.51job.com/guangzhou/81189788.html?s=0,广州瀚信通信科技股份有限公司,11-08,异地招聘,数据分析工程师（大数据挖掘方向高级）
15000-19999/月,http://jobs.51job.com/beijing-cyq/72141141.html?s=0,国美在线,11-08,北京-朝阳区,数据挖掘工程师——新业务中心
100000-200000/年,http://jobs.51job.com/chengdu-gxq/79545928.html?s=0,成都三泰控股集团股份有限公司,11-08,成都-高新区,数据挖掘工程师
25000-29999/月,http://jobs.51job.com/guangzhou-thq/79214850.html?s=0,深圳英睿才智管理咨询有限公司,11-08,异地招聘,高级数据挖掘/算法工程师
15000-25000/月,http://jobs.51job.com/guangzhou/78901719.html?s=0,三七互娱（上海）科技有限公司,11-08,广州,广告数据挖掘工程师
20-30万/年,http://jobs.51job.com/nanjing-qxq/78575273.html?s=0,江苏思柯瑞数据科技有限公司,11-08,南京-栖霞区,大数据挖掘分析工程师
8000-15000/月,http://jobs.51job.com/guangzhou/79242408.html?s=0,广州瑞云网络科技有限公司,11-08,广州,数据挖掘工程师
15000-19999/月,http://jobs.51job.com/shenzhen-nsq/81902838.html?s=0,深圳前海俊拓金融服务有限公司,11-08,深圳-南山区,数据挖掘分析师
10000-20000/月,http://jobs.51job.com/nanjing-jnq/68299677.html?s=0,南京物联传感技术有限公司,11-08,南京-江宁区,数据挖掘工程师
6000-7999/月,http://jobs.51job.com/chengdu/69414944.html?s=0,四川无声信息技术有限公司,11-08,成都,数据挖掘分析师
15000-19999/月,http://jobs.51job.com/hangzhou/76646318.html?s=0,浙江核新同花顺网络信息股份有限公司,11-08,杭州,算法/数据挖掘工程师（用户画像项目）
10000-25000/月,http://jobs.51job.com/shenzhen-lgq/71211291.html?s=0,上海海同信息科技有限公司,11-08,深圳-龙岗区,Python/Rhadoop 数据挖掘
